time,value
610.0,60
1310.0,60
2010.0,60
2710.0,60
3410.0,60
4110.0,60
4810.0,60
5510.0,60
6210.0,60
6910.0,60
612.0,60
1312.0,60
2012.0,60
2712.0,60
3412.0,60
4112.0,60
4812.0,60
5512.0,60
6212.0,60
6912.0,60
614.0,60
1314.0,60
2014.0,60
2714.0,60
3414.0,60
4114.0,60
4814.0,60
5514.0,60
6214.0,60
6914.0,60
616.0,60
1316.0,60
2016.0,60
2716.0,60
3416.0,60
4116.0,60
4816.0,60
5516.0,60
6216.0,60
6916.0,60
618.0,60
1318.0,60
2018.0,60
2718.0,60
3418.0,60
4118.0,60
4818.0,60
5518.0,60
6218.0,60
6918.0,60
6920,60
7620,60
8320,60
9020,60
9720,60
10420,60
11120,60
11820,60
12520,60
13220,60
7320.0,60
8020.0,60
8720.0,60
9420.0,60
10120.0,60
10820.0,60
11520.0,60
12220.0,60
12920.0,60
13620.0,60
7321.4,60
8021.4,60
8721.4,60
9421.4,60
10121.4,60
10821.4,60
11521.4,60
12221.4,60
12921.4,60
13621.4,60
7322.8,60
8022.8,60
8722.8,60
9422.8,60
10122.8,60
10822.8,60
11522.8,60
12222.8,60
12922.8,60
13622.8,60
7324.2,60
8024.2,60
8724.2,60
9424.2,60
10124.2,60
10824.2,60
11524.2,60
12224.2,60
12924.2,60
13624.2,60
7325.6,60
8025.6,60
8725.6,60
9425.6,60
10125.6,60
10825.6,60
11525.6,60
12225.6,60
12925.6,60
13625.6,60
13627,60
14327,60
15027,60
15727,60
16427,60
17127,60
17827,60
18527,60
19227,60
19927,60
14027.0,60
14727.0,60
15427.0,60
16127.0,60
16827.0,60
17527.0,60
18227.0,60
18927.0,60
19627.0,60
20327.0,60
14028.4,60
14728.4,60
15428.4,60
16128.4,60
16828.4,60
17528.4,60
18228.4,60
18928.4,60
19628.4,60
20328.4,60
14029.8,60
14729.8,60
15429.8,60
16129.8,60
16829.8,60
17529.8,60
18229.8,60
18929.8,60
19629.8,60
20329.8,60
14031.2,60
14731.2,60
15431.2,60
16131.2,60
16831.2,60
17531.2,60
18231.2,60
18931.2,60
19631.2,60
20331.2,60
14032.6,60
14732.6,60
15432.6,60
16132.6,60
16832.6,60
17532.6,60
18232.6,60
18932.6,60
19632.6,60
20332.6,60
20334,60
21034,60
21734,60
22434,60
23134,60
23834,60
24534,60
25234,60
25934,60
26634,60
20734.0,60
21434.0,60
22134.0,60
22834.0,60
23534.0,60
24234.0,60
24934.0,60
25634.0,60
26334.0,60
27034.0,60
20735.4,60
21435.4,60
22135.4,60
22835.4,60
23535.4,60
24235.4,60
24935.4,60
25635.4,60
26335.4,60
27035.4,60
20736.8,60
21436.8,60
22136.8,60
22836.8,60
23536.8,60
24236.8,60
24936.8,60
25636.8,60
26336.8,60
27036.8,60
20738.2,60
21438.2,60
22138.2,60
22838.2,60
23538.2,60
24238.2,60
24938.2,60
25638.2,60
26338.2,60
27038.2,60
20739.6,60
21439.6,60
22139.6,60
22839.6,60
23539.6,60
24239.6,60
24939.6,60
25639.6,60
26339.6,60
27039.6,60
27041,60
27741,60
28441,60
29141,60
29841,60
30541,60
31241,60
31941,60
32641,60
33341,60
27441.0,60
28141.0,60
28841.0,60
29541.0,60
30241.0,60
30941.0,60
31641.0,60
32341.0,60
33041.0,60
33741.0,60
27442.4,60
28142.4,60
28842.4,60
29542.4,60
30242.4,60
30942.4,60
31642.4,60
32342.4,60
33042.4,60
33742.4,60
27443.8,60
28143.8,60
28843.8,60
29543.8,60
30243.8,60
30943.8,60
31643.8,60
32343.8,60
33043.8,60
33743.8,60
27445.2,60
28145.2,60
28845.2,60
29545.2,60
30245.2,60
30945.2,60
31645.2,60
32345.2,60
33045.2,60
33745.2,60
27446.6,60
28146.6,60
28846.6,60
29546.6,60
30246.6,60
30946.6,60
31646.6,60
32346.6,60
33046.6,60
33746.6,60
33748,60
34448,60
35148,60
35848,60
36548,60
37248,60
37948,60
38648,60
39348,60
40048,60
33758,60
34458,60
35158,60
35858,60
36558,60
37258,60
37958,60
38658,60
39358,60
40058,60
